GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ModelProject,sudoku.model,SudokuBox,0,4,0,0,0,2,0,1,0,1
ModelProject,sudoku.model,FileSudokuBoardDao,12,82,0,6,8,28,0,8,0,5
ModelProject,sudoku.model,SudokuBoard,0,554,1,61,0,100,1,47,0,17
ModelProject,sudoku.model,SudokuBoardDaoFactory,0,17,0,2,0,4,0,3,0,2
ModelProject,sudoku.model,SudokuRow,0,4,0,0,0,2,0,1,0,1
ModelProject,sudoku.model,StreamSudokuBoardFactory,0,8,0,0,0,2,0,2,0,2
ModelProject,sudoku.model,Series,0,111,0,12,0,30,0,12,0,6
ModelProject,sudoku.model,SudokuColumn,0,4,0,0,0,2,0,1,0,1
ModelProject,sudoku.model,SudokuField,0,118,0,10,0,35,0,15,0,10
ModelProject,sudoku.model,BacktrackingSudokuSolver,0,88,0,16,0,21,0,11,0,3
